;Author:,gully,,,,,,,,,,,,,,,,,
;Date:,13-Jan-14,,,,,,,,,,,,,,,,,
;Desc:,mSPAGHETI log,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,Flags…,,,
;,,,,,,,,,,,,,,,Data,,,
;Num,Project,Part,Sub_area,Directory,Basename,Acq_Date,d_mm,wl,FL,ang,N,xc,yc,Note,f_missing,f_nonstandard,f_mirror,f_reduce
;#,,-,-,-,-,yyyymmdd,mm,nm,mm,°,#,pix,pix,,,,,
;,,,,,,,,,,,,,,,,,,
38,Heritage,G1,-,/Volumes/cambridge/Astronomy/silicon/Heritage/G1/20100217/,G1_L632nm_f400mm_d15mm_R2-,20100217,15.0,632.8,400,63.4,512,421.2,445.5,Missing most of the data,1,0,0,0
39,Heritage,G1,-,/Volumes/cambridge/Astronomy/silicon/Heritage/G1/20100220/,G1_L543nm_f400mm_d15mm_R2-,20100220,15.0,543.0,400,63.4,400,476.2,485.8,Missing most of the data,1,0,0,0
40,iSHELL,E06,-,/Volumes/cambridge/Astronomy/silicon/iShell/E06/20100624/,E06_632nm_25mm_2000mm_hdr-,20100624,25.0,632.8,2000,71.6,256,513.6,431.5,Missing most of the data,1,0,0,0
41,iSHELL,E06,-,/Volumes/cambridge/Astronomy/silicon/iShell/E06/20100626/,E06_632nm_20mm_838mm_hdr-,20100626,20.0,632.8,828,71.6,256,815.2,291.5,Missing most of the data,1,0,0,0
46,iSHELL,G02,-,/Volumes/cambridge/Astronomy/silicon/iShell/G02/G02_optical/,G02_R3_d15mm_w632nm_f838mm-,20100719,15.0,632.8,838,71.6,256,631.1,426.4,Missing most of the data,1,0,0,0
54,JWST,A6I,-,/Volumes/cambridge/Astronomy/silicon/sim_grate/A6I_scattered/scattered/,scattered-,20100817,?15,?632.8,?838,?,500,724.2,707.9,"All data present, unknown measurement conditions",0,1,0,0
42,iSHELL,E10,-,/Volumes/cambridge/Astronomy/silicon/iShell/E10/E10/,E10_20mm_632nm_838mm_R3-,20100824,20.0,632.8,838,71.6,256,534.6,390.6,Missing most of the data,1,0,0,0
5,JPL,JPL01,A100um,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/JPL01/20101028/,JPL01_A100um_D12_5mm_L632nm_F838mm-,20101028,12.5,632.8,838,54.7,256,855.4,691.9,Missing most of the data,1,0,0,0
6,-,mirror,-,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/JPL01/20101028/,mir_D12_5mm_L632nm_F838mm_dith-,20101028,12.5,632.8,838,0.0,15,228.4,258.8,Dithered,0,1,1,0
7,JPL,TJ01,B,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/JPL01/20101102/,TJ01B_D12_5mm_L632nm_F838mm-,20101102,12.5,632.8,838,54.7,256,500.6,280.9,Missing most of the data,1,0,0,0
8,-,mirror,-,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/JPL01/mir/,mir_D12_5mm_L632nm_F838mm-,20101102,12.5,632.8,838,0.0,256,478.8,357.3,Missing most of the data,1,0,1,0
9,JPL,TJ02,B,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/JPL02/20101103/,TJ02B_D12_5mm_L632nm_F838mm-,20101103,12.5,632.8,838,54.7,256,417.8,540.1,Missing most of the data,1,0,0,0
10,JPL,TJ02,A,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/JPL02/20101107/,TJ02A_D12_5mm_L632nm_F838mm-,20101107,12.5,632.8,838,54.7,256,159.1,481.6,2014,1,0,0,0
44,iSHELL,G02,pos1,/Volumes/cambridge/Astronomy/silicon/iShell/G02/20110111/,g02_angle_pos1_dither1-,20110111,?,?,?,?,13,667.1,662.7,"dithered, see notes in .ppt document",0,1,0,0
45,iSHELL,G02,pos2,/Volumes/cambridge/Astronomy/silicon/iShell/G02/20110111/,g02_angle_pos2_dither1-,20110111,?,?,?,?,13,486.9,550.7,"dithered, see notes in .ppt document",0,1,0,0
1,MIT,utn18,-,/Volumes/cambridge/Astronomy/silicon/MIT/UTN18/20110131/,utn18_f838_L632_d15mm-,20110131,15.0,632.8,838,54.7,128,602.0,450.3,All data present,0,0,0,0
11,JPL,TJ03,-,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ03/20110211/,TJ03_blaze_d8_2mm_l632nm-,20110211,8.2,632.8,200,54.7,128,162.3,519.4,Missing most of the data,1,0,0,0
12,JPL,TJ03,A,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ03/20110213/,TJ03A_blaze_d8_2mm_l632nm-,20110213,8.2,632.8,200,54.7,128,194.3,474.5,Missing most of the data,1,0,0,0
13,JPL,TJ03,C,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ03/20110213_C/,TJ03C_blaze_d8_2mm_l632nm-,20110213,8.2,632.8,200,54.7,128,215.9,540.7,Missing most of the data,1,0,0,0
14,JPL,TJ03,D,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ03/20110213_D/,TJ03D_blaze_d8_2mm_l632nm-,20110213,8.2,632.8,200,54.7,128,167.2,446.6,Missing most of the data,1,0,0,0
15,JPL,TJ03,F,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ03/20110214_F/,TJ03F_blaze_d8_2mm_l632nm_FL200mm-,20110214,8.2,632.8,200,54.7,128,279.7,696.4,Missing most of the data,1,0,0,0
16,JPL,TJ03,G,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ03/20110214_G/,TJ03G_blaze_d8_2mm_l632nm_FL200mm-,20110214,8.2,632.8,200,54.7,128,177.6,630.1,Missing most of the data,1,0,0,0
17,JPL,TJ03,H,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ03/20110214_H/,TJ03H_blaze_d8_2mm_l632nm_FL200mm-,20110214,8.2,632.8,200,54.7,128,293.9,617.9,Missing most of the data,1,0,0,0
18,JPL,TJ03,E,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ03/20110215/,TJ03E_blaze_d8_2mm_l632nm_FL200mm-,20110215,8.2,632.8,200,54.7,128,222.2,491.8,Missing most of the data,1,0,0,0
19,JPL,mirror,-,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ04/20110217_mir/,mirror_d8_2mm_l632nm_FL200mm-,20110217,8.2,632.8,200,54.7,128,416.9,339.3,Missing most of the data,1,0,1,0
20,JPL,TJ04,G,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ04/20110218_G/,TJ04_25um_G_blaze_d8_2mm_l632nm_FL200mm-,20110218,8.2,632.8,200,54.7,128,208.7,758.3,Missing most of the data,1,0,0,0
21,JPL,TJ04,H,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ04/20110218_H/,TJ04_25um_H_blaze_d8_2mm_l632nm_FL200mm-,20110218,8.2,632.8,200,54.7,128,277.4,742.6,Missing most of the data,1,0,0,0
22,JPL,TJ04,I,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ04/20110218_I/,TJ04_25um_I_blaze_d8_2mm_l632nm_FL200mm-,20110218,8.2,632.8,200,54.7,128,316.4,735.8,Missing most of the data,1,0,0,0
23,JPL,TJ04,J,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ04/20110218_J/,TJ04_25um_J_blaze_d8_2mm_l632nm_FL200mm-,20110218,8.2,632.8,200,54.7,128,184.6,738.2,Missing most of the data,1,0,0,0
24,JPL,TJ04,A,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ04/20110219_A/,TJ04_100um_A_blaze_d8_2mm_l632nm_FL838mm-,20110219,8.2,632.8,838,54.7,128,248.0,448.1,Missing most of the data,1,0,0,0
25,JPL,TJ04,B,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ04/20110219_B/,TJ04_100um_B_blaze_d8_2mm_l632nm_FL838mm-,20110219,8.2,632.8,838,54.7,128,142.4,171.0,Missing most of the data,1,0,0,0
26,JPL,TJ04,C,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ04/20110219_C/,TJ04_100um_C_blaze_d8_2mm_l632nm_FL838mm-,20110219,8.2,632.8,838,54.7,128,137.8,456.6,Missing most of the data,1,0,0,0
27,JPL,TJ04,D,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ04/20110219_D/,TJ04_100um_D_blaze_d8_2mm_l632nm_FL838mm-,20110219,8.2,632.8,838,54.7,128,233.2,339.4,Missing most of the data,1,0,0,0
28,JPL,TJ04,E,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ04/20110219_E/,TJ04_100um_E_blaze_d8_2mm_l632nm_FL838mm-,20110219,8.2,632.8,838,54.7,128,217.3,191.5,Missing most of the data,1,0,0,0
29,JPL,TJ04,F,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ04/20110219_F/,TJ04_100um_F_blaze_d8_2mm_l632nm_FL838mm-,20110219,8.2,632.8,838,54.7,128,185.1,470.5,Missing most of the data,1,0,0,0
2,JPL,E09,-,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/E09/20110509/,E09_R3_d25mm_f838mm_632nm_filt-,20110509,25.0,632.8,838,71.6,128,423.0,630.0,Missing most of the data,1,0,0,0
3,JPL,E09,-,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/E09/20110510/,E09_m0_d20mm_f838mm_632nm-,20110510,20.0,632.8,838,0.0,128,428.0,535.8,Missing most of the data,1,0,0,0
36,JPL,TJ07,D,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ07/D/,TJ07_d6mm_f838mm_632nm-,20110510,6.0,632.8,838,54.7,128,354.6,526.8,Missing most of the data,1,0,0,0
30,JPL,TJ07,A,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ07/A/,TJ07_A_d6mm_f838mm_632nm-,20110511,6.0,632.8,838,54.7,128,340.9,516.2,Missing most of the data,1,0,0,0
34,JPL,TJ07,C,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ07/C/,TJ07_C_d6mm_f838mm_632nm-,20110511,6.0,632.8,838,54.7,128,359.3,550.5,Missing most of the data,1,0,0,0
32,JPL,TJ07,B,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ07/B/,TJ07_B_d6mm_f838mm_632nm-,20110512,6.0,632.8,838,54.7,128,284.5,536.7,Missing most of the data,1,0,0,0
31,JPL,TJ07,A,/Volumes/cambridge/Astronomy/silicon/APRA_JPL/TJ07/A_f200mm/,TJ07_A_d6mm_f200mm_632nm_filt-,20110513,6.0,632.8,200,54.7,128,174.0,611.8,Missing most of the data,1,0,0,0
